Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cook Islands,312.32,305.4,326.58,330.48,349.1,348.38,323.36,330.65,347.59,345.16,357.15,338.41,428.3,413.83,376.84,401.98,382.27,379.77,395.85,406.25,445.21,412.79,358.46,367.06,359.73,323.04,283.82,299.12,270,233.3,231.9,219.1,212.09,187.95,183.2,189.29,234.24,262.38,214.39,201.28,182.86,166.21,127.15,103.91,106.1,109.97,107.81,108.7,103.2,102.11,100.62,99.76,102.86,101.55,99.85,98.6,97.29,93.14,87.98,83.05
Fiji,166.43,190.61,209.86,205.34,183.17,174.91,168.94,197.85,184.24,193.19,175.92,155.37,158.25,143.37,141.11,142.83,158.5,159.37,190.96,172.34,184.66,184.67,135.72,190.76,159.61,188.85,154.1,158.65,185.72,191.15,151.19,149.21,151.71,159.88,162.5,157.98,149.8,120.26,148.87,147.61,134.68,141.15,127.92,142.48,145.04,151.8,135.29,131.99,113.13,90.28,107.87,88.87,100.38,107.85,109.4,82.75,111.65,115.84,117.38,111.23
French Polynesia,345.33,378.33,351.9,331.76,289.26,281.41,255.67,239.24,297.45,275.05,248.88,221.8,181.19,164.98,226.52,203.07,174.56,159.37,164.61,190.91,165.04,174.42,125.74,112.82,141.85,137.54,135.18,121.1,120.72,128.69,115.8,111.48,110.28,108.69,113.83,105.96,104.34,86.63,93.43,99.31,97.04,102.09,100.32,99.93,106.97,103.92,105.54,103.08,98.34,99.83,100.33,100.95,95.08,96.39,101.71,101.9,100.27,102.26,100.6,100.11
Kiribati,103.61,93.78,83.65,87.87,111.06,105.57,117.39,86.65,86.76,89.73,100.62,76.3,97.04,115.34,71.38,90.61,90.44,102.68,93.26,84.44,103.61,95.55,79.21,110.99,109.6,114.49,118.65,122.92,85.18,69.86,76.26,76.9,76.2,76.03,75.37,86.21,85.08,87.62,86.38,79.96,79.63,79.84,78.91,95.47,94.44,108.17,109.98,108.06,105.9,104.55,102.97,102.93,102.66,101.01,100.34,98.66,97.74,87.6,88.01,87.7
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.82,155.66,120.18,126.42,199.4,168.28,156.69,111.79,87.89,21.9,19.01,65.14,147.7,89.7,101.87,124.57,103.59,133.73,121.97,115.59,100,111.5,117.8,83.79,90.08,126.13,125.43,78.74,79.13,93.33
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.28,21.75,21.18,20.85,93.09,92.71,92.65,92.91,93.41,93.78,94.01,94.15,94.29,91.95,89.13,86.01,89.17,86.09,88.37,87.56,88.19,84.93,90.49,100.59,99.75,99.66,99.2,98.06,97.33,94.37
Nauru,84.75,79.62,74.84,72.51,77.72,75.21,74.63,73.64,77.56,77.93,78.11,77.34,78.75,80.59,82.78,56.51,67.95,72.73,76.83,80.91,85.39,86.5,82.4,73.95,76.67,77.37,77.96,78.01,76.99,77.32,81.21,81.42,81.16,80.8,81.15,81.8,83.15,84.97,87.1,88.58,90.67,92.81,94.93,96.97,98.61,99.95,101.6,102.64,103.19,103.42,99.2,104.09,105.53,100.27,99.93,99.8,97.89,97.29,97.16,97.11
New Caledonia,292.49,283.76,281.43,286.11,280.67,266.38,243.72,241.26,228.72,206.28,213.58,214.35,201.17,155.06,162.28,141.8,143.12,138.75,139.21,148.22,133.65,131.26,139.57,134.77,149.9,139.81,123.79,117.43,115.94,118.54,118.49,121.67,123.5,126.93,120.28,119.97,111.2,110.39,109.52,107.3,107.24,105.79,103.86,107.59,100.23,94.38,93.73,93.61,89.18,92.34,91.03,95.44,89.63,93.12,110.24,96.64,94.47,93.84,96.27,95.26
Niue,15.35,16.93,20.62,23.97,21.22,20.59,20.21,21.17,21.16,26.81,28.77,27.15,31.52,38.9,39.86,37.76,43.77,45.71,49.37,50.11,55.34,54.19,60.13,59.82,62.98,67.22,70.83,75.06,77.62,50.33,58.16,62.79,66.95,69.27,71.92,75.59,79.27,83.15,86.11,84.41,86.92,90.92,94.78,96.64,97.97,99.52,102.66,99.76,98.67,98.69,98.22,98.93,100.91,102.34,97.13,100.53,99.65,98.29,99.89,99.35
Papua New Guinea,101.25,103.19,103.75,105.07,105.13,107.25,107.51,107.83,109.71,110.84,110.67,111.47,110.18,113.76,112.48,112.66,111.01,111.28,109.8,110.91,109.02,107.12,108.49,108.15,109.58,105.46,107.09,106.53,105.03,102.72,100.68,103.09,104.86,102.42,100.75,102.58,101.43,102.25,103.66,104.08,99.84,100.92,101.15,100.26,101.45,101.15,105.31,104.8,103.82,99.78,103.09,99.8,100.31,101.16,100.02,98.82,96.87,95.48,93.48,92.11
Samoa,131.65,139.7,138.94,140.88,120.6,110.14,101.14,111.89,119.46,106.26,122.44,114.65,110.77,116.09,113.92,112.74,117.8,110.35,124.46,128.23,122.08,136.33,125.88,120.66,126.21,126.86,122.31,118.61,112.99,99.4,80.66,80.61,77.76,77.01,85.73,90.32,92.19,94.94,91.52,93.93,96.83,97.85,98.54,97.89,99.1,97.46,95.12,96.43,100.54,101.45,103.57,102.92,102.63,101.39,101.73,96.88,94.98,96.16,84.03,92.15
Solomon Islands,174.97,172.02,172.93,172.68,169.3,162.38,161.19,149.26,158.69,167.19,165.52,156.03,153.62,151.63,151.06,152.6,152.22,154.71,167.68,164.87,173.7,166.17,160.78,176.84,177.81,170.4,132.67,133.27,135.05,129.98,136.48,139.47,134,131.04,140.63,139.9,142.1,141.3,129.51,127.04,118.79,118.17,118.89,130.77,143.16,142.82,149.19,151.71,143.96,104.86,104.02,103.09,102.28,101.7,100.41,97.89,97.59,95.56,95.67,92.05
Tokelau,25.24,31.82,16.55,40.13,37.18,30.8,28.7,32.34,33.5,35.37,36.88,35.1,36.26,53.6,58.42,34.92,27.45,25.11,33.19,36.32,39.04,41.85,42.45,41.3,42.59,44.34,47.54,50.02,52.61,54.88,58.48,60.85,63.38,64.7,66.4,66.96,67.2,66.96,67.9,69.68,72.59,76.09,79.74,86.78,92.69,97.48,101.16,104.04,105.66,106.29,106.74,107.39,105.58,103.21,101.1,95.69,90.74,89.55,87.28,89.5
Tonga,229.81,204.04,207.7,196.94,195.77,210.06,211.22,190.91,188.71,166.82,169.97,183.09,171.63,182.61,193.72,189.56,179.37,156.49,154.64,165.66,160.66,128.03,128.57,129.86,126.09,137.01,121.99,112.74,112.32,109.37,111.82,110.44,136,118.61,107.05,107.88,104.67,100.31,99.41,102.41,101.9,104.82,102.26,101.28,100.65,109.07,143.57,138.55,137.47,136.24,136.28,134.66,136.87,103.09,101.32,95.59,94.86,92.21,90.97,89.94
Tuvalu,153.46,154.02,154.63,165.47,164.78,163.44,146.41,134.77,121.29,110,144.47,77.25,69.43,164.25,80.79,64.51,85.19,144.31,144.4,134.62,130.23,89.9,93.37,98.32,101.92,94.51,84.61,79.42,81.94,71.93,114.79,97.33,85.66,84.01,88.82,90.52,93.97,97.24,95,101.07,98.23,101.85,102.86,100.35,100.54,100.08,102.38,101.37,102.04,99.57,99.6,100.85,102.04,99.96,100.24,99.8,98.67,97.8,96.83,95.85
Vanuatu,218.25,211.76,227.31,229.55,192.61,210.55,233.6,205.69,210.18,193.59,203.54,153.27,165.58,198.59,189.69,196.69,205.53,210.55,202.64,173.5,200.57,174.17,184.77,200.07,180.92,183.49,182.73,164.56,143.53,181.1,152.81,144.57,142.52,141.42,142.17,141.27,161.28,162.95,135.52,126.49,124.24,110.2,112.87,112.39,111.73,109.82,109.86,109.96,104.46,130.8,121.09,119.88,123.21,107.57,97.56,94.87,91.69,88.33,85.94,79.17
